id,prediction
3,4
6,2
9,4
11,3
12,4
14,4
15,4
16,3
18,4
19,3
21,2
22,4
23,2
24,3
25,3
26,3
27,4
29,2
30,4
33,4
34,2
36,4
37,4
38,4
39,4
40,4
41,4
42,2
43,4
44,2
45,1
47,3
48,3
49,4
50,2
51,4
53,4
55,4
57,2
60,2
61,3
62,4
67,3
68,2
69,4
70,2
75,4
76,3
77,4
78,3
79,4
81,3
82,3
84,4
85,3
86,3
87,4
92,4
93,2
95,3
96,4
97,4
99,3
100,3
101,2
102,4
104,4
106,4
107,3
111,4
114,1
116,4
117,3
118,3
120,3
121,3
123,3
125,3
127,2
128,4
129,4
130,1
131,3
132,3
133,4
134,3
137,3
138,4
139,3
140,3
141,2
142,4
144,4
146,3
147,3
148,4
149,4
150,4
152,3
153,2
154,3
155,3
156,4
157,3
158,3
159,4
160,4
162,4
163,4
165,4
166,2
167,3
168,4
169,2
170,2
174,4
175,3
177,3
178,3
179,3
180,3
182,3
184,4
185,3
186,4
187,3
188,4
190,4
191,3
192,4
193,3
196,3
198,3
202,4
203,3
205,4
206,4
207,4
208,3
209,2
210,3
212,3
213,4
216,3
219,3
222,3
223,4
224,4
225,4
226,3
227,3
229,4
231,3
233,4
234,3
235,3
236,3
237,3
238,3
239,4
240,4
242,4
244,3
246,4
250,3
251,3
254,4
255,3
256,2
257,4
258,1
259,4
260,3
261,4
262,3
263,4
264,3
267,4
270,3
272,3
273,3
274,4
277,3
278,4
280,3
282,3
283,4
284,4
285,4
286,4
287,4
288,3
291,3
292,3
293,3
294,3
297,3
298,4
301,2
303,4
304,3
306,3
308,3
309,4
310,2
311,4
312,4
313,4
314,4
315,3
316,4
317,4
318,2
319,3
320,4
324,3
325,3
326,2
327,3
328,3
329,4
330,4
331,4
332,4
333,4
335,3
337,2
340,3
342,3
343,3
345,3
347,4
349,1
350,2
351,4
352,4
353,3
354,4
355,3
356,3
357,4
359,3
360,3
361,3
362,3
363,4
365,4
368,3
369,3
370,4
373,3
375,4
376,4
377,4
378,4
379,4
380,4
382,3
383,4
384,3
385,2
386,4
387,3
390,4
391,3
394,3
395,2
397,2
400,4
401,3
402,4
403,4
404,3
405,2
407,4
408,3
409,3
410,3
411,4
413,3
416,4
417,3
419,4
420,4
421,4
423,4
426,3
427,2
429,3
430,4
431,3
432,4
433,4
434,3
436,4
439,3
441,4
443,4
445,4
446,2
447,4
448,4
450,4
452,4
453,2
454,3
455,4
456,4
457,2
458,4
462,4
463,2
464,3
465,4
466,4
467,2
469,3
470,3
471,4
474,3
475,4
477,4
478,4
479,4
480,4
481,4
482,3
483,3
484,3
485,4
486,4
488,3
489,2
490,4
491,4
492,3
493,4
494,2
496,3
497,4
498,4
500,4
501,4
505,3
506,3
508,3
509,4
510,4
511,3
514,4
515,3
516,4
517,3
519,3
520,4
521,3
523,4
525,4
526,3
527,3
528,3
529,3
531,4
532,3
